Item Managed by,External ID,Item Name/Number,Item Options,SIZE,COLOR,Packaging,NDC Item,Matrix Type,Subitem of,Display Name/Code,Vendor Name/Code,Manufacturer,UOM to Each,UOM to Each Type,Units Type,Stock Description,Purchase Price,Item Defined Cost,Base Price,Shipping Category,Shipping Rate,Logo - Free Shipping,Actual Shipping,Application,Product Name,Detailed Description,Web Store Description,Page Title,Meta Tag HTML,Warranty,Return Policy,Attribute Set,Original Description,Other Options,form,Catalogue,Catalogue hierarchy
AUTOMATION,1000000000,GR42720-MI,,,,,,Parent Matrix Item,,42720,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Airlaid Washcloths,"<p>The absorbent single-use washcloths offers the durability needed for clean-ups as well as the softness essential for patient care. Airlaid washcloths are your all-purpose cloth, featuring optimum strength and absorbency.</p>","<p>The absorbent single-use washcloths offers the durability needed for clean-ups as well as the softness essential for patient care. Airlaid washcloths are your all-purpose cloth, featuring optimum strength and absorbency.</p>",Graham Medical Airlaid Washcloths|42720,"<meta name= ""description"" content=""Buy Graham Medical Airlaid Washcloths at best price from medicaleshop.com"" /><meta name=""keywords"" content=""42720"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000001,GR42720-CS,Size|Color,10 x 13.5 inch,White,Case,,Child Matrix Item,1000000000,42720,NDC Homecare LLC,Graham Medical,400,CS,Case,400/Case,23.88,25.074,31.044,,,,,,"Graham Medical Airlaid Washcloths 10” X 13.5”, White - 400/cs",,,,,,,Supply Compression,"Airlaid Washcloth, 10” x 13.5”, White, 50/pk, 8 pk/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000001,GR55086-CS,Size|Color,13 x 13½ inch,White,Case,,Child Matrix Item,1000000000,55086,NDC Homecare LLC,Graham Medical,800,CS,Case,800/Case,33.44,35.112,43.472,,,,,,"Graham Medical Airlaid Washcloths 13"" X 13½"", White - 800/cs",,,,,,,Supply Compression,"Airlaid Washcloth, 13"" x 13½"", White, 50/bg, 16 bg/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000003,GR53158-MI,,,,,,Parent Matrix Item,,53158,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Amplewear®,"<p>The AmpleWear® Gown is a large 40"" x 50"" size that provides full coverage for patient sizes up to 9X. The armhole and neckline snaps allow easy and convenient IV hook-up. Telemetry pocket with cord slit is convenient for holding devices and offers increased mobility. Easy-to-use front-opening waist tie closure gives modesty and security to patients. Soft, linen-like, opaque nonwoven material offers warmth and comfort. The AmpleWear® Vest is soft and opaque for maximum comfort and modesty that patients deserve. The large 36"" x 30"" size provides great coverage for larger-sized patients. The snaps offer security as well as utility for physicians.</p>","<p>The AmpleWear® Gown is a large 40"" x 50"" size that provides full coverage for patient sizes up to 9X. The armhole and neckline snaps allow easy and convenient IV hook-up. Telemetry pocket with cord slit is convenient for holding devices and offers increased mobility. Easy-to-use front-opening waist tie closure gives modesty and security to patients. Soft, linen-like, opaque nonwoven material offers warmth and comfort. The AmpleWear® Vest is soft and opaque for maximum comfort and modesty that patients deserve. The large 36"" x 30"" size provides great coverage for larger-sized patients. The snaps offer security as well as utility for physicians.</p>",Graham Medical Amplewear®|53158,"<meta name= ""description"" content=""Buy Graham Medical Amplewear® at best price from medicaleshop.com"" /><meta name=""keywords"" content=""53158"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000004,GR53158-CS,Size|Color|Color,36 x 30 inch,White Back,Case,,Child Matrix Item,1000000003,53158,NDC Homecare LLC,Graham Medical,50,CS,Case,50/Case,40.8,42.84,53.04,,,,,,"Graham Medical Amplewear® 36"" X 30"", Blue, White Back - 50/cs",,,,,,,Supply Compression,"AmpleWear® Vest, 36"" x 30"" (approx 3XL), Front Opening, Snaps, Soft, Durable, Blue Front, White Back, 50/cs (70 cs/plt)",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000004,GR50756-CS,Size|Color,40 x 50 inch,Blue,Case,,Child Matrix Item,1000000003,50756,NDC Homecare LLC,Graham Medical,25,CS,Case,25/Case,59.01,61.9605,76.713,,,,,,"Graham Medical Amplewear® 40"" X 50"", Blue, Up To Size 9x - 25/cs",,,,,,,Supply Compression,"AmpleWear® Gown, 40"" x 50"", Blue, up to Size 9x, 25/cs","[{""text"":""up to Size 9x"",""tag"":""LENGTH""}]",MES PART FORM,Walking Aids,Master
AUTOMATION,1000000006,GR87470-MI,,,,,,Parent Matrix Item,,87470,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Bouffant Cap,<p></p>,<p></p>,Graham Medical Bouffant Cap|87470,"<meta name= ""description"" content=""Buy Graham Medical Bouffant Cap at best price from medicaleshop.com"" /><meta name=""keywords"" content=""87470"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000007,GR87471-CS,Size|Color,24 inch,"Blue, Spunbond",Case,,Child Matrix Item,1000000006,87471,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,80.34,84.357,104.442,,,,,,"Graham Medical Bouffant Cap 24"", Blue, Spunbond - 1000/cs",,,,,,,Supply Compression,"Bouffant Cap, 24"", Blue, Spunbond, 100/bg, 10 bg/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000008,GR87470-CS,Size|Color,21 inch,"Blue, Spunbond",Case,,Child Matrix Item,1000000006,87470,NDC Homecare LLC,Graham Medical,1000,CS,Case,1000/Case,71.57,75.1485,93.041,,,,,,"Graham Medical Bouffant Cap 21"", Blue, Spunbond - 1000/cs",,,,,,,Supply Compression,"Bouffant Cap, 21"", Blue, Spunbond, 100/bg, 10 bg/cs",,MES PART FORM,Walking Aids,Master
AUTOMATION,1000000009,GR213-MI,,,,,,Parent Matrix Item,,213,NDC Homecare LLC,Graham Medical,,,,,,,,,,,,,Graham Medical Capes,"<p>Capes offer comfort, strength and durability to accommodate office procedures involving fluids, extended exams and patient perspiration. Front/back opening.</p>","<p>Capes offer comfort, strength and durability to accommodate office procedures involving fluids, extended exams and patient perspiration. Front/back opening.</p>",Graham Medical Capes|213,"<meta name= ""description"" content=""Buy Graham Medical Capes at best price from medicaleshop.com"" /><meta name=""keywords"" content=""213"" />",<ul><li>The product warranty is applicable as per the terms and conditions provided by the product manufacturer.</li></ul><p><b>Please call us for specific details.</b></p>,"<ul><li>No returns will be accepted after 30 days from the date of shipment.</li><li>All returns are subject to a restocking fee as per manufacturers terms and conditions.</li><li>All returns must have an RGA number (Returned Goods Authorization), unauthorized returns will not be accepted.</li><li>We do not guarantee fulfillment of any desired purpose or product suitability to the user and this will not be considered as a valid reason for return.</li><li><b>The products must be new, unused condition, not tampered with, in original packaging and returned at the customers expense in the original packaging.</b></li><li>If your return is not due to any manufacturing defect then the original shipping cost will be deducted from the total refund.</li><li>Hygiene, bath and toilet items cannot be returned once opened or used.</li><li>Standard manufacturer terms and conditions apply for return policy of this product.</li></ul><p><b>Please call us for specific details.</b>",Supply Compression,,,MES PART FORM,Walking Aids,Master
